unit_id,pr_number,unit_type,defect_class,gt_file,gt_line,gt_summary,detection_hint,model_id,finding_index,severity,finding_file,finding_line,failure_mode,impact,suggested_fix,raw_content,draft_tag,draft_rationale,tag,notes
1564/004-swapped-prompt-branch,1564,injected,local_mechanical,langfuse/openai.py,407,"The prompt-extraction branch bodies for resource.type == ""chat"" and resource.type == ""embedding"" are swapped. Chat calls (the most common resource type) now capture kwargs.get(""input"", None) — which chat kwargs never contain, so the logged prompt is silently None — while embedding calls run _extract_chat_prompt(kwargs) against kwargs that have no ""messages"" key, producing a malformed or empty prompt instead of the raw embedding input.","A correct catch must state that the chat and embedding branches got each other's extraction logic (chat now reads a nonexistent ""input"" kwarg instead of calling _extract_chat_prompt, and embedding calls _extract_chat_prompt instead of reading ""input""), so logged prompts for one or both resource types are silently wrong or empty — not merely flag that the branches ""look reordered.""",gemini,2,should-fix,langfuse/openai.py,543,"The code iterates through a list of keys to find token details in `usage_dict`, but the keys `input_token_details` and `output_token_details` are misspelled as `input_tokens_details` and `output_tokens_details` (with an extra 's').","The logic to process and flatten `input_tokens_details` and `output_tokens_details` from the OpenAI Response API format will never execute. This means detailed token usage information (e.g., `cached_tokens`) for this API format will be missing from the parsed usage data, even if present in the input.","Correct the spelling of the keys in the list:

```python
    for tokens_details in [
        ""prompt_tokens_details"",
        ""completion_tokens_details"",
        ""input_token_details"",
        ""output_token_details"",
    ]:
```",,unrelated,"Not the injected defect; also factually wrong — claims the PLURAL keys are the misspelling, but plural (input_tokens_details) is OpenAI's actual Responses-API shape.",unrelated,
1564/clean,1564,clean,,,,,,claude,0,,,,,,,,,,none,
1564/clean,1564,clean,,,,,,gpt,1,should-fix,langfuse/openai.py,546,Parsing now only recognizes 'input_tokens_details' and 'output_tokens_details' keys; older payloads using 'input_token_details'/'output_token_details' will no longer be processed.,"Clients emitting legacy field names will silently lose token detail parsing, leading to missing usage metrics downstream without any error.","Support both legacy and current keys. For example, before the loop, normalize usage_dict by copying 'input_token_details' to 'input_tokens_details' (and 'output_token_details' to 'output_tokens_details') if the new keys are absent; or iterate over a list of alias pairs and handle whichever is present.",,false_positive,"The singular keys being removed were a typo — OpenAI's Responses API uses plural (input_tokens_details); no real payload carries the singular form, so no 'legacy clients' lose anything.",false_positive,
1564/clean,1564,clean,,,,,,gemini,1,should-fix,langfuse/openai.py,542,"The typo fix from `input_token_details` to `input_tokens_details` is correct, but the old, incorrect key `input_token_details` is not handled. This is a silent semantic change that breaks backward compatibility for any callers that might be passing usage data with the old key.","If any part of the system or its users are sending usage data with the old `input_token_details` or `output_token_details` keys, those details will no longer be processed (i.e., `None` values will not be stripped). This could lead to inconsistent data being logged or processed downstream.","To maintain backward compatibility, include both the old and new keys in the list of keys to process. This ensures that both formats are handled correctly during a transition period.

```python
    for tokens_details in [
        ""prompt_tokens_details"",
        ""completion_tokens_details"",
        ""input_token_details"",  # old key
        ""input_tokens_details"", # new key
        ""output_token_details"", # old key
        ""output_tokens_details"",# new key
    ]:
```",,false_positive,"Same as gpt: acknowledges the fix is correct, then invents a back-compat population (payloads with the typo'd singular keys) that doesn't exist.",false_positive,
1577/002-naive-datetime-utc,1577,injected,silent_semantic,langfuse/_utils/serializer.py,218,"serialize_datetime's naive-datetime branch now stamps missing tzinfo as UTC (dt.timezone.utc) instead of the host's local timezone (dt.datetime.now().astimezone().tzinfo). Every naive datetime passed into the serializer is silently reinterpreted as UTC, shifting its serialized wall-clock value by the server's UTC offset whenever the server is not itself running in UTC. The bug is invisible on a UTC host and in any test that doesn't assert the numeric offset.","A correct catch must state that naive datetimes are now assumed to be UTC rather than local time, and that this silently shifts the serialized timestamp by the server's UTC offset on any non-UTC host — not merely observe that the tzinfo assignment changed or that ""timezone handling"" was touched.",claude,1,blocking,langfuse/_utils/serializer.py,218,Naive datetimes are now treated as UTC instead of local time. Previously `dt.datetime.now().astimezone().tzinfo` captured the system's local timezone; now all naive datetimes are forced to UTC regardless of their intended meaning.,"Silent data corruption for any existing code that logs naive datetimes expecting local timezone interpretation. Timestamps will be offset by the local UTC offset, potentially causing incorrect temporal ordering or analysis in production logs.","Revert to `local_tz = dt.datetime.now().astimezone().tzinfo` or document this as a breaking change and increment major version. If UTC is desired, add explicit validation/warning when naive datetimes are encountered so callers know to fix their code.",,described_catch,"States naive datetimes now assumed UTC instead of local, timestamps offset by local UTC offset — matches hint.",,
1577/002-naive-datetime-utc,1577,injected,silent_semantic,langfuse/_utils/serializer.py,218,"serialize_datetime's naive-datetime branch now stamps missing tzinfo as UTC (dt.timezone.utc) instead of the host's local timezone (dt.datetime.now().astimezone().tzinfo). Every naive datetime passed into the serializer is silently reinterpreted as UTC, shifting its serialized wall-clock value by the server's UTC offset whenever the server is not itself running in UTC. The bug is invisible on a UTC host and in any test that doesn't assert the numeric offset.","A correct catch must state that naive datetimes are now assumed to be UTC rather than local time, and that this silently shifts the serialized timestamp by the server's UTC offset on any non-UTC host — not merely observe that the tzinfo assignment changed or that ""timezone handling"" was touched.",claude,2,blocking,langfuse/_utils/serializer.py,154,The `__slots__` serialization now returns a dict directly instead of passing it through `self.default()`. This bypasses the circular reference tracking that happens when a dict is processed as an object.,"If an object with `__slots__` contains circular references within its slot values, the serializer may still hang or produce incorrect output because the resulting dict is not tracked in `self.seen`.","Return `self.default({slot: getattr(obj, slot, None) for slot in obj.__slots__})` to ensure the constructed dict goes through normal dict processing and circular reference detection.",,unrelated,"Not the injected defect. Claim also false as stated: _depth is incremented on every default() call incl. the __slots__ branch, so cyclic slots objects hit _MAX_DEPTH=20 and return a placeholder — no hang (verified in file).",unrelated,
1577/002-naive-datetime-utc,1577,injected,silent_semantic,langfuse/_utils/serializer.py,218,"serialize_datetime's naive-datetime branch now stamps missing tzinfo as UTC (dt.timezone.utc) instead of the host's local timezone (dt.datetime.now().astimezone().tzinfo). Every naive datetime passed into the serializer is silently reinterpreted as UTC, shifting its serialized wall-clock value by the server's UTC offset whenever the server is not itself running in UTC. The bug is invisible on a UTC host and in any test that doesn't assert the numeric offset.","A correct catch must state that naive datetimes are now assumed to be UTC rather than local time, and that this silently shifts the serialized timestamp by the server's UTC offset on any non-UTC host — not merely observe that the tzinfo assignment changed or that ""timezone handling"" was touched.",claude,3,should-fix,langfuse/_utils/serializer.py,12,"The `_depth` counter is instance state that is only reset in `encode()`. If callers invoke `default()` directly (which is part of the public JSONEncoder API), depth tracking persists across calls and will eventually hit the limit incorrectly.","After processing one deep object, subsequent unrelated shallow objects may be incorrectly truncated with `<TypeName>` placeholders, breaking serialization correctness for batch processing or long-lived serializer instances.","Move `_depth` to a context variable or thread-local, or document that `encode()` must always be used as the entry point and make `default()` raise an error if called when `_depth` is non-zero outside of recursion.",,unrelated,"Not the injected defect; contrived — encode() resets _depth, and calling default() directly outside encode() isn't how this serializer is used.",unrelated,
1577/002-naive-datetime-utc,1577,injected,silent_semantic,langfuse/_utils/serializer.py,218,"serialize_datetime's naive-datetime branch now stamps missing tzinfo as UTC (dt.timezone.utc) instead of the host's local timezone (dt.datetime.now().astimezone().tzinfo). Every naive datetime passed into the serializer is silently reinterpreted as UTC, shifting its serialized wall-clock value by the server's UTC offset whenever the server is not itself running in UTC. The bug is invisible on a UTC host and in any test that doesn't assert the numeric offset.","A correct catch must state that naive datetimes are now assumed to be UTC rather than local time, and that this silently shifts the serialized timestamp by the server's UTC offset on any non-UTC host — not merely observe that the tzinfo assignment changed or that ""timezone handling"" was touched.",gpt,1,should-fix,langfuse/_utils/serializer.py,215,Naive datetimes are now assumed to be UTC instead of the system local timezone.,"Timestamps serialized from naive datetime objects will shift relative to prior behavior (interpreted as local time before), leading to incorrect times in logs/analytics for users outside UTC and silent data inconsistencies.","Restore the previous behavior by deriving the local timezone: local_tz = dt.datetime.now().astimezone().tzinfo, or make the behavior explicit/configurable (e.g., a parameter or class attribute) and update callers/tests accordingly. If UTC is intended, convert explicitly from assumed-local to UTC rather than just setting tzinfo to UTC.",,described_catch,States UTC-instead-of-local assumption and the shift on non-UTC hosts — matches hint (severity only should-fix; note for severity analysis).,described_catch,
1577/002-naive-datetime-utc,1577,injected,silent_semantic,langfuse/_utils/serializer.py,218,"serialize_datetime's naive-datetime branch now stamps missing tzinfo as UTC (dt.timezone.utc) instead of the host's local timezone (dt.datetime.now().astimezone().tzinfo). Every naive datetime passed into the serializer is silently reinterpreted as UTC, shifting its serialized wall-clock value by the server's UTC offset whenever the server is not itself running in UTC. The bug is invisible on a UTC host and in any test that doesn't assert the numeric offset.","A correct catch must state that naive datetimes are now assumed to be UTC rather than local time, and that this silently shifts the serialized timestamp by the server's UTC offset on any non-UTC host — not merely observe that the tzinfo assignment changed or that ""timezone handling"" was touched.",gemini,1,blocking,langfuse/_utils/serializer.py,143,"The previous implementation for serializing objects with `__slots__` was incorrect. It recursively called `self.default` on the entire dictionary created from the slots, rather than on each value within the dictionary. This would lead to incorrect serialization and potentially infinite recursion.","Objects with `__slots__` would not be serialized correctly. For example, if a slot contained a `datetime` object, it would not be converted to an ISO string. In more complex cases, this could lead to a `RecursionError` if the serializer was called on an object that was already being processed.","The provided fix is correct. It changes the implementation to iterate over the slots and apply `self.default` to each attribute's value, which is the intended behavior for deep serialization.

```python
# Previous incorrect code:
return self.default(
    {slot: getattr(obj, slot, None) for slot in obj.__slots__}
)

# Corrected code:
return {
    slot: self.default(getattr(obj, slot, None))
    for slot in obj.__slots__
}
```",,unrelated,Not the injected defect — and it critiques the PREVIOUS implementation (code the PR already replaced) at blocking severity; not a finding about the code under review.,unrelated,
1577/002-naive-datetime-utc,1577,injected,silent_semantic,langfuse/_utils/serializer.py,218,"serialize_datetime's naive-datetime branch now stamps missing tzinfo as UTC (dt.timezone.utc) instead of the host's local timezone (dt.datetime.now().astimezone().tzinfo). Every naive datetime passed into the serializer is silently reinterpreted as UTC, shifting its serialized wall-clock value by the server's UTC offset whenever the server is not itself running in UTC. The bug is invisible on a UTC host and in any test that doesn't assert the numeric offset.","A correct catch must state that naive datetimes are now assumed to be UTC rather than local time, and that this silently shifts the serialized timestamp by the server's UTC offset on any non-UTC host — not merely observe that the tzinfo assignment changed or that ""timezone handling"" was touched.",gemini,2,should-fix,langfuse/_utils/serializer.py,203,"When serializing a naive `datetime` object (one without timezone information), it is now assumed to be in UTC. The previous implementation assumed it was in the server's local timezone.","This is a silent semantic change. If callers are passing naive `datetime` objects expecting them to be interpreted as local time, their timestamps will now be incorrect, potentially shifted by several hours. This can lead to incorrect data analysis, broken time-based logic, and user confusion, especially if the application is deployed across different timezones.","The change to UTC is generally a good practice for consistency. However, this change should be explicitly documented as a breaking change in the release notes. To avoid breaking existing users, you could consider making the behavior configurable or, if local time interpretation is important, revert to the previous behavior while adding a warning about the ambiguity of naive datetimes.

If UTC is the desired default, the change is correct, but its impact must be communicated. Reverting to the old behavior would look like this:
```python
-        local_tz = dt.timezone.utc
+        local_tz = dt.datetime.now().astimezone().tzinfo
```",,described_catch,"States naive datetimes now assumed UTC vs local before, timestamps shifted — matches hint.",described_catch,
1577/002-naive-datetime-utc,1577,injected,silent_semantic,langfuse/_utils/serializer.py,218,"serialize_datetime's naive-datetime branch now stamps missing tzinfo as UTC (dt.timezone.utc) instead of the host's local timezone (dt.datetime.now().astimezone().tzinfo). Every naive datetime passed into the serializer is silently reinterpreted as UTC, shifting its serialized wall-clock value by the server's UTC offset whenever the server is not itself running in UTC. The bug is invisible on a UTC host and in any test that doesn't assert the numeric offset.","A correct catch must state that naive datetimes are now assumed to be UTC rather than local time, and that this silently shifts the serialized timestamp by the server's UTC offset on any non-UTC host — not merely observe that the tzinfo assignment changed or that ""timezone handling"" was touched.",gemini,3,should-fix,langfuse/_utils/serializer.py,150,"The serializer's state (`self.seen` and `self._depth`) is not thread-safe. If a single `EventSerializer` instance is shared and used concurrently by multiple threads, race conditions can occur, leading to corrupted state and incorrect serialization.","In a multi-threaded application (e.g., a web server handling multiple requests), concurrent `encode` calls can interfere with each other. One thread might clear `self.seen` while another is in the middle of detecting a cycle, or `self._depth` could be incorrectly incremented/decremented, leading to premature truncation or `RecursionError`.","The simplest and safest fix is to create a new `EventSerializer` instance for each top-level serialization task, rather than reusing a single instance. If instance reuse is required for performance, you must add locking to protect shared state.

Example of adding a lock:
```python
import threading

class EventSerializer(JSONEncoder):
    # ...
    def __init__(self, *args: Any, **kwargs: Any) -> None:
        super().__init__(*args, **kwargs)
        self.seen: set[int] = set()
        self._depth = 0
        self._lock = threading.Lock() # Add a lock

    def encode(self, obj: Any) -> str:
        with self._lock:
            self.seen.clear()
            self._depth = 0

            try:
                return super().encode(self.default(obj))
            except (TypeError, ValueError) as e:
                # ...
```
This ensures that each `encode` operation is atomic with respect to the serializer's internal state.",,unrelated,Thread-safety of serializer state — not the injected defect; speculative.,unrelated,
1577/clean,1577,clean,,,,,,claude,1,blocking,langfuse/_utils/serializer.py,154,"The refactored __slots__ serialization no longer goes through the circular reference detection that was previously applied when the dict was passed to self.default(). If a __slots__ object's slot points to a parent object creating a cycle, the serializer will recurse infinitely.","Stack overflow or infinite loop when serializing __slots__ objects with circular references, causing production service crashes or hangs.","Before constructing the dict comprehension, add the same circular reference tracking used for __dict__ objects: check if obj_id = id(obj) is in self.seen, add it to self.seen before serialization, and remove it after in a try-finally block.",,false_positive,"Overstated — seen-tracking indeed doesn't cover __slots__, but _depth increments on every default() call, so a slots cycle bottoms out at _MAX_DEPTH=20 with a placeholder (verified); no infinite recursion/hang/crash.",false_positive,
1577/clean,1577,clean,,,,,,claude,2,should-fix,langfuse/_utils/serializer.py,46,"The depth counter is incremented on every call to default(), but asdict() (line 124) recursively processes dataclass fields without going through default(), making depth tracking inaccurate. A dataclass nested at depth 19 could contain fields that expand to depth 30+ without triggering the depth limit.","The depth limit protection can be bypassed by deeply nested dataclasses, potentially causing stack overflows or extremely large serialized outputs that the depth limit was designed to prevent.","Replace asdict(obj) with a manual dict comprehension: {field.name: self.default(getattr(obj, field.name)) for field in fields(obj)}, ensuring depth tracking applies to all nested structures.",,true_finding,"REAL (minor) — dataclasses.asdict() recurses fully without touching _depth, so nested/cyclic dataclasses bypass the depth cap (cycle -> RecursionError inside asdict). Verified: asdict at line 124, after the depth check.",true_finding,
1577/clean,1577,clean,,,,,,claude,3,should-fix,langfuse/_utils/serializer.py,130,"BaseModel.model_dump() recursively processes nested models without going through default(), bypassing depth tracking. A Pydantic model graph nested at depth 19 can expand to arbitrary depth internally without hitting the depth limit check at line 120.","Deeply nested Pydantic models can bypass the depth protection, potentially causing stack overflow or producing unexpectedly large serialized outputs in production.","After the depth check at line 120, add a special case: if isinstance(obj, BaseModel) and self._depth >= self._MAX_DEPTH - 1: return f""<{type(obj).__name__}>"". Alternatively, manually iterate obj.model_dump().items() and call self.default() on each value to ensure depth tracking.",,true_finding,"REAL (minor) — model_dump() at line 133 is returned directly; its internal recursion bypasses _depth entirely, so deep pydantic graphs evade the cap the same way. Same weakness class as the asdict finding.",true_finding,
1577/clean,1577,clean,,,,,,gpt,0,,,,,,,"(empty — likely truncated, check finish_reason in the run file)",,,none,
1577/clean,1577,clean,,,,,,gemini,0,,,,,,,"An empty list means no findings were found.

```json
[]
```",,,none,
1600/009-wrong-experiment-id,1600,injected,contract_violation,langfuse/_client/client.py,2679,"The ExperimentResult returned from _run_experiment_async now always sets experiment_id to shared_fallback_experiment_id, dropping the `dataset_run_id or` fallback. For any experiment backed by a Langfuse dataset, every per-item span is still tagged with the real dataset_run_id (via the unchanged `dataset_run_id or fallback_experiment_id` in _process_experiment_item), but the top-level result.experiment_id a caller reads no longer matches it — the documented ""stable identifier for the experiment run across all items"" is silently a different, unrelated value whenever a dataset run exists.","A correct catch must state that result.experiment_id no longer uses dataset_run_id when one exists — it's hardcoded to the fallback ID — so for dataset-backed experiments the returned experiment_id mismatches the experiment_id actually attached to each item's span attributes, breaking any caller that correlates the two — not merely note that the experiment_id field exists or that a variable was removed from the expression.",claude,1,blocking,langfuse/_client/client.py,2679,"The returned `experiment_id` is always set to `shared_fallback_experiment_id`, even when the experiment uses a Langfuse dataset with a `dataset_run_id`. At line 2769, the actual experiment_id used in spans is `dataset_run_id or fallback_experiment_id`, but this discrepancy means callers receive the wrong ID.","When using Langfuse datasets, callers receive a fallback experiment_id that doesn't match the dataset_run_id actually propagated to all spans and traces, breaking correlation and lookups.","Change line 2679 to `experiment_id=dataset_run_id or shared_fallback_experiment_id,` to return the actual experiment_id used, matching the logic at line 2769.",,described_catch,"States experiment_id hardcoded to fallback while spans carry dataset_run_id, breaking correlation — matches hint precisely (even cites the other line).",described_catch,
